Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
1,0,-0.770851,-0.381279,1.706205,-3097.339111,-565.838806,812.332947
2,0,-0.771173,-0.381681,1.70575,-3097.381836,-565.704773,812.288757
3,0,-0.770803,-0.381937,1.705686,-3097.479492,-565.651733,812.313782
4,0,-0.788412,-0.304925,1.72039,-3098.180176,-567.036194,811.515991
5,0,-0.706681,-0.335673,1.777199,-3100.743896,-567.004333,813.083862
6,0,-0.699531,-0.334516,1.784485,-3101.091064,-566.916321,813.178223
7,0,-0.698983,-0.335427,1.785144,-3101.157227,-566.742188,813.154602
8,0,-0.699173,-0.335052,1.784891,-3101.199463,-566.605896,813.089478
9,0,-0.701462,-0.333723,1.784611,-3101.250977,-566.471008,813.000916
10,0,-0.704113,-0.332646,1.783472,-3101.244629,-566.337402,812.887695
11,0,-0.704303,-0.331629,1.783264,-3101.30835,-566.21106,812.82135
12,0,-0.701522,-0.331245,1.784183,-3101.412354,-566.100769,812.803589
13,0,-0.701054,-0.333758,1.783463,-3101.464111,-565.967651,812.85144
14,0,-0.702313,-0.332863,1.783185,-3101.467773,-565.815796,812.794434
15,0,-0.702979,-0.331798,1.783056,-3101.457764,-565.659241,812.738647
16,0,-0.702172,-0.331971,1.783564,-3101.457764,-565.463135,812.700623
17,0,-0.701854,-0.332464,1.783717,-3101.482422,-565.321777,812.726318
18,0,-0.701727,-0.334311,1.783678,-3101.52002,-565.198853,812.809814
19,0,-0.70121,-0.33619,1.783742,-3101.553223,-565.094971,812.926941
20,0,-0.702688,-0.335622,1.783024,-3101.479248,-564.972534,812.886047
21,0,-0.709629,-0.331906,1.782674,-3101.284424,-565.067749,812.734131
22,0,-0.708328,-0.332603,1.783989,-3101.362793,-565.034668,812.828979
23,0,-0.711881,-0.331673,1.782464,-3101.322021,-565.010193,812.855225
24,0,-0.710692,-0.333765,1.782692,-3101.421631,-565.01593,813.068054
25,0,-0.709954,-0.334372,1.783118,-3101.442383,-565.009094,813.154846
26,0,-0.711861,-0.334646,1.78141,-3101.334229,-564.93042,813.130859
27,0,-0.713964,-0.334158,1.78075,-3101.273682,-564.898499,813.145691
28,0,-0.714496,-0.333592,1.78135,-3101.339844,-564.943848,813.266296
29,0,-0.71439,-0.333541,1.782075,-3101.416504,-564.971863,813.393311
30,0,-0.717277,-0.338069,1.771174,-3101.087158,-565.115112,813.573303
31,0,-0.713607,-0.333076,1.783691,-3101.444336,-565.015625,813.490601
32,0,-0.710542,-0.339017,1.782167,-3101.379639,-564.907532,813.566833
33,0,-0.716291,-0.329844,1.782548,-3101.4021,-565.161987,813.526123
34,0,-0.716462,-0.329845,1.782943,-3101.441895,-565.240784,813.598694
35,0,-0.717143,-0.329698,1.782528,-3101.498535,-565.319214,813.687683
36,0,-0.718,-0.332799,1.774006,-3101.22168,-565.488647,813.783386
37,0,-0.768794,-0.332408,1.728007,-3099.221924,-564.315796,812.563171
38,0,-0.717525,-0.327202,1.784277,-3101.501221,-565.409729,813.676514
39,0,-0.708954,-0.331258,1.78571,-3101.706299,-565.189026,813.829468
40,0,-0.709736,-0.33045,1.785921,-3101.709717,-565.234253,813.837097
41,0,-0.71909,-0.331163,1.774974,-3101.226563,-565.592346,813.833679
42,0,-0.709299,-0.331209,1.786522,-3101.728516,-565.253113,813.907776
43,0,-0.769897,-0.330667,1.729794,-3099.2146,-564.416199,812.624512
44,0,-0.71055,-0.329678,1.786565,-3101.578613,-565.236206,813.861633
45,0,-0.711617,-0.329475,1.785878,-3101.575684,-565.222107,813.900879
46,0,-0.718342,-0.327357,1.786643,-3101.458496,-565.471924,813.896484
47,0,-0.711123,-0.330359,1.786437,-3101.577637,-565.242859,814.038818
48,0,-0.720434,-0.330701,1.775597,-3100.980469,-565.513733,813.967773
